Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,text,melodia_par,"text_practice

Your body text here.",practice_audio,ritmo_par,timelimit,ShowProgressBar,"text_practice

Your body text here.","text_practice

Your body text here.","text_practice

Your body text here.","text_practice

Your body text here.","text_practice

Your body text here.","text_practice

Your body text here.",CorrectanswerM
1,1695045029606,18/09/2023 13:50:29,1695086228285,-7,18/09/2023 18:17:08,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
2,1695045043301,18/09/2023 13:50:43,1695086241916,-7,18/09/2023 18:17:21,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,2,,1,Screen 2,advancementZone,continue_button,13174.599999904633,,,,,0,1,0,,,,,,Instruções,,,,,,,,,,,,,,,
3,1695045063462,18/09/2023 13:51:03,1695086262093,-7,18/09/2023 18:17:42,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,2,,2,Screen 1,advancementZone,continue_button,20124,,,,,0,1,0,,,,,,Instruções,,,,,,,,,,,,,,,
4,1695045063650,18/09/2023 13:51:03,1695086262129,-7,18/09/2023 18:17:42,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,3,,1,Screen 2,Zone5,content_web_audio,1.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Practice,Yes,مثال اول,,در این مورد عبارات یکسان بودند. بنابراین پاسخ صحیح بله است و باید بر روی دکمه بله کلیک کنید. برای رفتن به مثال دوم روی بعدی کلیک کنید.,exA.wav,,,,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",
5,1695045072058,18/09/2023 13:51:12,1695086270754,-7,18/09/2023 18:17:50,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,3,,1,Screen 2,Zone5,content_web_audio,8624.900000095367,,,,,0,1,0,,,,,,Practice,Yes,مثال اول,,در این مورد عبارات یکسان بودند. بنابراین پاسخ صحیح بله است و باید بر روی دکمه بله کلیک کنید. برای رفتن به مثال دوم روی بعدی کلیک کنید.,exA.wav,,,,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",
6,1695045074454,18/09/2023 13:51:14,1695086273162,-7,18/09/2023 18:17:53,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,3,,2,Screen 3,Zone2,response_button_text,2378.9000000953674,,,بله,1,0,1,0,,,,,,Practice,Yes,مثال اول,,در این مورد عبارات یکسان بودند. بنابراین پاسخ صحیح بله است و باید بر روی دکمه بله کلیک کنید. برای رفتن به مثال دوم روی بعدی کلیک کنید.,exA.wav,,,,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",
7,1695045085890,18/09/2023 13:51:25,1695086284551,-7,18/09/2023 18:18:04,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,3,,3,Screen 1,advancementZone,continue_button,11364.799999713898,,,,,0,1,0,,,,,,Practice,Yes,مثال اول,,در این مورد عبارات یکسان بودند. بنابراین پاسخ صحیح بله است و باید بر روی دکمه بله کلیک کنید. برای رفتن به مثال دوم روی بعدی کلیک کنید.,exA.wav,,,,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",,"In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.","In this case, the phrases were **identical**. Therefore, the correct answer is **Yes** and you should click on the Yes button. Click below to go to the second Example.",
8,1695045086376,18/09/2023 13:51:26,1695086284605,-7,18/09/2023 18:18:04,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,4,,1,Screen 2,Zone5,content_web_audio,0.7000002861022949,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Practice,No,مثال دوم,,در این مورد، عبارات یکسان نبودند. بنابراین پاسخ صحیح خیر است و باید روی دکمه نه کلیک کنید. برای ادامه دادن بر روی بعدی کلیک کنید.,exB.wav,,,,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",
9,1695045094594,18/09/2023 13:51:34,1695086293289,-7,18/09/2023 18:18:13,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,4,,1,Screen 2,Zone5,content_web_audio,8683.200000286102,,,,,0,1,0,,,,,,Practice,No,مثال دوم,,در این مورد، عبارات یکسان نبودند. بنابراین پاسخ صحیح خیر است و باید روی دکمه نه کلیک کنید. برای ادامه دادن بر روی بعدی کلیک کنید.,exB.wav,,,,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",
10,1695045097496,18/09/2023 13:51:37,1695086296176,-7,18/09/2023 18:18:16,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,4,,2,Screen 3,Zone5,response_button_text,2843.5999999046326,,,خیر,1,0,1,0,,,,,,Practice,No,مثال دوم,,در این مورد، عبارات یکسان نبودند. بنابراین پاسخ صحیح خیر است و باید روی دکمه نه کلیک کنید. برای ادامه دادن بر روی بعدی کلیک کنید.,exB.wav,,,,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",
11,1695045103804,18/09/2023 13:51:43,1695086302480,-7,18/09/2023 18:18:22,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,4,,3,Screen 1,advancementZone,continue_button,6293,,,,,0,1,0,,,,,,Practice,No,مثال دوم,,در این مورد، عبارات یکسان نبودند. بنابراین پاسخ صحیح خیر است و باید روی دکمه نه کلیک کنید. برای ادامه دادن بر روی بعدی کلیک کنید.,exB.wav,,,,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",,"In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.","In this case, the phrases were **not** identical. Therefore, the correct answer is **No** and you should click on the No button. Click below to go to the second Example.",
12,1695045117151,18/09/2023 13:51:57,1695086315859,-7,18/09/2023 18:18:35,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,5,,1,Screen 1,advancementZone,continue_button,13334.400000095367,,,,,0,1,0,,,,,,Instruções_Melodia,,,,,,,,,,,,,,,
13,1695045117347,18/09/2023 13:51:57,1695086315907,-7,18/09/2023 18:18:35,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,6,,1,Screen 2,Zone5,content_web_audio,3.0999999046325684,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Melodia,No,1,1a.wav,,,,,1,,,,,,,Melody 1
14,1695045125382,18/09/2023 13:52:05,1695086324073,-7,18/09/2023 18:18:44,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,6,,1,Screen 2,Zone5,content_web_audio,8168.700000286102,,,,,0,1,0,,,,,,Melodia,No,1,1a.wav,,,,,1,,,,,,,Melody 1
15,1695045126884,18/09/2023 13:52:06,1695086325579,-7,18/09/2023 18:18:45,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,6,,2,Screen 3,Zone6,timelimit_screen,1499.6410000000033,,,,,0,1,0,,,1,,,Melodia,No,1,1a.wav,,,,,1,,,,,,,Melody 1
16,1695045127048,18/09/2023 13:52:07,1695086325605,-7,18/09/2023 18:18:45,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,7,,1,Screen 2,Zone5,content_web_audio,0.9000000953674316,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Melodia,Yes,2,2a.wav,,,,,1,,,,,,,Melody 1
17,1695045135073,18/09/2023 13:52:15,1695086333800,-7,18/09/2023 18:18:53,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,7,,1,Screen 2,Zone5,content_web_audio,8194.5,,,,,0,1,0,,,,,,Melodia,Yes,2,2a.wav,,,,,1,,,,,,,Melody 1
18,1695045136594,18/09/2023 13:52:16,1695086335286,-7,18/09/2023 18:18:55,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,7,,2,Screen 3,Zone6,timelimit_screen,1499.9230000000098,,,,,0,1,0,,,1,,,Melodia,Yes,2,2a.wav,,,,,1,,,,,,,Melody 1
19,1695045136753,18/09/2023 13:52:16,1695086335324,-7,18/09/2023 18:18:55,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,8,,1,Screen 2,Zone5,content_web_audio,1.200000286102295,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Melodia,Yes,3,3a.wav,,,,,1,,,,,,,Melody 1
20,1695045144834,18/09/2023 13:52:24,1695086343553,-7,18/09/2023 18:19:03,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,8,,1,Screen 2,Zone5,content_web_audio,8228.800000190735,,,,,0,1,0,,,,,,Melodia,Yes,3,3a.wav,,,,,1,,,,,,,Melody 1
21,1695045145688,18/09/2023 13:52:25,1695086344415,-7,18/09/2023 18:19:04,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,8,,2,Screen 3,Zone2,response_button_text,824,,,بله,1,0,1,0,,,,,,Melodia,Yes,3,3a.wav,,,,,1,,,,,,,Melody 1
22,1695045146353,18/09/2023 13:52:26,1695086345053,-7,18/09/2023 18:19:05,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,8,,2,Screen 3,Zone6,timelimit_screen,1500.0299999999988,,,,,0,1,0,,,1,,,Melodia,Yes,3,3a.wav,,,,,1,,,,,,,Melody 1
23,1695045146536,18/09/2023 13:52:26,1695086345096,-7,18/09/2023 18:19:05,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,9,,1,Screen 2,Zone5,content_web_audio,1.4000000953674316,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Melodia,No,4,4a.wav,,,,,1,,,,,,,Melody 1
24,1695045154453,18/09/2023 13:52:34,1695086353156,-7,18/09/2023 18:19:13,0,0,,,31719861,,9376061,,live,,,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.82,1366x768,1366x657,,,,Musical Ear Test (MET) - English Instructions,3,Spreadsheet1,Spreadsheet1,9,,1,Screen 2,Zone5,content_web_audio,8060.699999809265,,,,,0,1,0,,,,,,Melodia,No,4,4a.wav,,,,,1,,,,,,,Melody 1
